chapter,verse,source_ranges,mirror_ranges,local_records,source_sha
7,45,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,46,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,47,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,48,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,49,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,50,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,51,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,52,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,53,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,54,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,55,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,56,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,57,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,58,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,59,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,60,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,61,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,62,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,63,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,64,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,65,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,66,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,67,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,68,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,69,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,70,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,71,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,72,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,73,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,74,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
8,1,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,2,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,3,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,4,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,5,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,6,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,7,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,8,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,9,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,10,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,11,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
